code,code_name,n_qubits,noise,p,P_L,n_trials
steane,"Steane [[7,1,3]] code",7,bitflip,0.013036726897376788,0.0033200213802423964,230119
steane,"Steane [[7,1,3]] code",7,bitflip,0.017341081779469535,0.00567055300897693,172999
steane,"Steane [[7,1,3]] code",7,bitflip,0.02306661170778679,0.010718294914576574,130058
steane,"Steane [[7,1,3]] code",7,bitflip,0.030682548092687834,0.017202761442086423,97775
steane,"Steane [[7,1,3]] code",7,bitflip,0.04081304915460552,0.027780423100469357,73505
steane,"Steane [[7,1,3]] code",7,bitflip,0.05428835233189814,0.045512124502352515,55260
steane,"Steane [[7,1,3]] code",7,bitflip,0.07221281575281993,0.07942,50000
steane,"Steane [[7,1,3]] code",7,bitflip,0.09605542505821689,0.12344,50000
steane,"Steane [[7,1,3]] code",7,bitflip,0.1277701829921294,0.18574,50000
steane,"Steane [[7,1,3]] code",7,bitflip,0.1699562481967874,0.26828,50000
steane,"Steane [[7,1,3]] code",7,bitflip,0.22607094726402102,0.36164,50000
steane,"Steane [[7,1,3]] code",7,bitflip,0.3007131172822503,0.44458,50000
steane,"Steane [[7,1,3]] code",7,bitflip,0.4,0.4918,50000
steane,"Steane [[7,1,3]] code",7,phaseflip,0.001,2.1333333333333335e-05,3000000
steane,"Steane [[7,1,3]] code",7,phaseflip,0.0013301714391945158,3.3697682131538015e-05,2255348
steane,"Steane [[7,1,3]] code",7,phaseflip,0.0017693560576488095,6.133768044483973e-05,1695532
steane,"Steane [[7,1,3]] code",7,phaseflip,0.002353546893650254,0.00011061677876095087,1274671
steane,"Steane [[7,1,3]] code",7,phaseflip,0.00313062085873854,0.0001774019176103753,958276
steane,"Steane [[7,1,3]] code",7,phaseflip,0.0041642624532406145,0.00035673882414996913,720415
steane,"Steane [[7,1,3]] code",7,phaseflip,0.005539182980610753,0.0006111566555144425,541596
steane,"Steane [[7,1,3]] code",7,phaseflip,0.0073680629972807735,0.0011002991438297286,407162
steane,"Steane [[7,1,3]] code",7,phaseflip,0.009800786961168824,0.00190462500449204,306097
steane,"Steane [[7,1,3]] code",7,phaseflip,0.013036726897376788,0.0032504921366771104,230119
steane,"Steane [[7,1,3]] code",7,phaseflip,0.017341081779469535,0.006092520766015988,172999
steane,"Steane [[7,1,3]] code",7,phaseflip,0.02306661170778679,0.009918651678481908,130058
steane,"Steane [[7,1,3]] code",7,phaseflip,0.030682548092687834,0.017049347992840705,97775
steane,"Steane [[7,1,3]] code",7,phaseflip,0.04081304915460552,0.02916808380382287,73505
steane,"Steane [[7,1,3]] code",7,phaseflip,0.05428835233189814,0.047882736156351795,55260
steane,"Steane [[7,1,3]] code",7,phaseflip,0.07221281575281993,0.07798,50000
steane,"Steane [[7,1,3]] code",7,phaseflip,0.09605542505821689,0.12298,50000
steane,"Steane [[7,1,3]] code",7,phaseflip,0.1277701829921294,0.18404,50000
steane,"Steane [[7,1,3]] code",7,phaseflip,0.1699562481967874,0.26606,50000
steane,"Steane [[7,1,3]] code",7,phaseflip,0.22607094726402102,0.36332,50000
steane,"Steane [[7,1,3]] code",7,phaseflip,0.3007131172822503,0.4442,50000
steane,"Steane [[7,1,3]] code",7,phaseflip,0.4,0.49138,50000
steane,"Steane [[7,1,3]] code",7,depolarizing,0.001,2.0666666666666666e-05,3000000
steane,"Steane [[7,1,3]] code",7,depolarizing,0.0013301714391945158,3.103733880536396e-05,2255348
steane,"Steane [[7,1,3]] code",7,depolarizing,0.0017693560576488095,5.1901114222556696e-05,1695532
steane,"Steane [[7,1,3]] code",7,depolarizing,0.002353546893650254,9.02193585638961e-05,1274671
steane,"Steane [[7,1,3]] code",7,depolarizing,0.00313062085873854,0.00017531483622672383,958276
steane,"Steane [[7,1,3]] code",7,depolarizing,0.0041642624532406145,0.00025818451864550296,720415
steane,"Steane [[7,1,3]] code",7,depolarizing,0.005539182980610753,0.0005225297084912,541596
steane,"Steane [[7,1,3]] code",7,depolarizing,0.0073680629972807735,0.0009431135518540532,407162
steane,"Steane [[7,1,3]] code",7,depolarizing,0.009800786961168824,0.0015452617960973155,306097
steane,"Steane [[7,1,3]] code",7,depolarizing,0.013036726897376788,0.0026377656777580296,230119
steane,"Steane [[7,1,3]] code",7,depolarizing,0.017341081779469535,0.004601182665795756,172999
steane,"Steane [[7,1,3]] code",7,depolarizing,0.02306661170778679,0.00818096541543004,130058
steane,"Steane [[7,1,3]] code",7,depolarizing,0.030682548092687834,0.013715162362567118,97775
steane,"Steane [[7,1,3]] code",7,depolarizing,0.04081304915460552,0.022882797088633427,73505
steane,"Steane [[7,1,3]] code",7,depolarizing,0.05428835233189814,0.04008324285197249,55260
steane,"Steane [[7,1,3]] code",7,depolarizing,0.07221281575281993,0.0672,50000
steane,"Steane [[7,1,3]] code",7,depolarizing,0.09605542505821689,0.10732,50000
steane,"Steane [[7,1,3]] code",7,depolarizing,0.1277701829921294,0.16856,50000
steane,"Steane [[7,1,3]] code",7,depolarizing,0.1699562481967874,0.25896,50000
steane,"Steane [[7,1,3]] code",7,depolarizing,0.22607094726402102,0.37418,50000
steane,"Steane [[7,1,3]] code",7,depolarizing,0.3007131172822503,0.5141,50000
steane,"Steane [[7,1,3]] code",7,depolarizing,0.4,0.63448,50000
unencoded,Unencoded qubit,1,any,0.001,0.001,
unencoded,Unencoded qubit,1,any,0.0013301714391945158,0.0013301714391945158,
unencoded,Unencoded qubit,1,any,0.0017693560576488095,0.0017693560576488095,
unencoded,Unencoded qubit,1,any,0.002353546893650254,0.002353546893650254,
unencoded,Unencoded qubit,1,any,0.00313062085873854,0.00313062085873854,
unencoded,Unencoded qubit,1,any,0.0041642624532406145,0.0041642624532406145,
unencoded,Unencoded qubit,1,any,0.005539182980610753,0.005539182980610753,
unencoded,Unencoded qubit,1,any,0.0073680629972807735,0.0073680629972807735,
unencoded,Unencoded qubit,1,any,0.009800786961168824,0.009800786961168824,
unencoded,Unencoded qubit,1,any,0.013036726897376788,0.013036726897376788,
unencoded,Unencoded qubit,1,any,0.017341081779469535,0.017341081779469535,
unencoded,Unencoded qubit,1,any,0.02306661170778679,0.02306661170778679,
unencoded,Unencoded qubit,1,any,0.030682548092687834,0.030682548092687834,
unencoded,Unencoded qubit,1,any,0.04081304915460552,0.04081304915460552,
unencoded,Unencoded qubit,1,any,0.05428835233189814,0.05428835233189814,
unencoded,Unencoded qubit,1,any,0.07221281575281993,0.07221281575281993,
unencoded,Unencoded qubit,1,any,0.09605542505821689,0.09605542505821689,
unencoded,Unencoded qubit,1,any,0.1277701829921294,0.1277701829921294,
unencoded,Unencoded qubit,1,any,0.1699562481967874,0.1699562481967874,
unencoded,Unencoded qubit,1,any,0.22607094726402102,0.22607094726402102,
unencoded,Unencoded qubit,1,any,0.3007131172822503,0.3007131172822503,
unencoded,Unencoded qubit,1,any,0.4,0.4,
